Date,Time,Tank,GC,Fecund,Length,ID,N,C,WN,WC,C:N,Comments
1/3/2014,0:00,1,BS,y,17,m1,14.0,-28.0,9.9,45.9,4.6,
1/3/2014,0:00,1,BS,y,15,m2,12.8,-28.0,10.9,49.0,4.5,
1/3/2014,0:00,2,BS,n,19,m3,13.3,-30.2,10.0,52.3,5.2,
1/3/2014,0:00,2,BS,n,18,m4,13.1,-30.8,9.5,50.4,5.3,
1/3/2014,0:00,4,BS,n,13,m5,13.2,-26.2,11.1,45.1,4.1,
1/3/2014,0:00,4,BS,y,16,m6,13.0,-28.7,9.8,47.1,4.8,
1/3/2014,0:00,5,BS,y,14,m7,12.9,-27.6,10.8,44.6,4.1,
1/3/2014,0:00,5,BS,y,18,m8,12.7,-30.2,10.2,48.6,4.8,
1/3/2014,0:00,6,BS,?,14,m9,14.1,-29.5,11.8,44.5,3.8,
1/3/2014,0:00,6,BS,?,19,m10,13.2,-29.5,12.2,45.3,3.7,
1/20/2014,08:00-09:00,1,BS,y,15,m11,13.0,-27.6,10.0,46.4,4.6,
1/20/2014,08:00-09:00,2,BS,n,13,m12,13.9,-26.3,11.5,45.4,4.0,
1/20/2014,08:00-09:00,4,BS,y,17,m13,12.7,-27.0,9.8,46.0,4.7,
1/20/2014,08:00-09:00,4,BS,n,10,m14,14.3,-25.2,11.7,44.4,3.8,
1/20/2014,08:00-09:00,4,BS,y,16,m15,,,,,,Sample lost during the analysis. Rerun the sample.
1/20/2014,08:00-09:00,4,BS,y,17,m16,,,,,,Sample lost during the analysis. Rerun the sample.
1/20/2014,08:00-09:00,4,BS,y,15,m17,12.7,-27.3,10.5,45.3,4.3,
1/20/2014,08:00-09:00,4,BS,n,15,m18,13.4,-26.2,9.9,47.5,4.8,
1/20/2014,08:00-09:00,5,BS,n,14,m19,14.1,-26.2,9.9,46.2,4.7,
1/20/2014,08:00-09:00,5,BS,y,19,m20,13.7,-29.5,9.2,45.4,4.9,
1/20/2014,08:00-09:00,5,BS,n,15,m21,13.3,-28.1,10.4,42.3,4.1,
